STT,MSV,GPA
355,B19DCCN515,2.56
355,B19DCCN005,2.56
357,B19DCCN063,2.55
357,B19DCCN090,2.55
357,B19DCCN132,2.55
357,B19DCCN208,2.55
357,B19DCCN489,2.55
362,B19DCCN384,2.54
363,B19DCCN069,2.53
363,B19DCCN055,2.53
363,B19DCCN475,2.53
363,B19DCCN341,2.53
363,B19DCCN458,2.53
363,B19DCCN216,2.53
363,B19DCCN393,2.53
363,B19DCCN184,2.53
363,B19DCCN382,2.53
372,B19DCCN032,2.51
372,B19DCCN444,2.51
372,B19DCCN464,2.51
375,B19DCCN663,2.5
375,B19DCCN433,2.5
375,B19DCCN108,2.5
375,B19DCCN366,2.5
375,B19DCCN011,2.5
375,B19DCCN539,2.5
375,B19DCCN480,2.5
375,B19DCCN550,2.5
375,B19DCCN695,2.5
375,B19DCCN274,2.5
375,B19DCCN509,2.5
375,B19DCCN409,2.5
375,B19DCCN076,2.5
375,B19DCCN370,2.5
375,B19DCCN288,2.5
375,B19DCCN495,2.5
375,B19DCCN210,2.5
375,B19DCCN674,2.5
375,B19DCCN583,2.5
394,B19DCCN096,2.48
394,B19DCCN147,2.48
396,B19DCCN129,2.47
397,B19DCCN516,2.45
397,B19DCCN189,2.45
397,B19DCCN324,2.45
397,B19DCCN477,2.45
397,B19DCCN571,2.45
397,B19DCCN146,2.45
397,B19DCCN472,2.45
397,B19DCCN414,2.45
405,B19DCCN225,2.43
406,B19DCCN300,2.42
407,B19DCCN499,2.4
407,B19DCCN323,2.4
407,B19DCCN228,2.4
407,B19DCCN412,2.4
407,B19DCCN624,2.4
407,B19DCCN284,2.4
407,B19DCCN016,2.4
407,B19DCCN544,2.4
407,B19DCCN319,2.4
407,B19DCCN605,2.4
407,B19DCCN665,2.4
418,B19DCCN563,2.39
418,B19DCCN259,2.39
418,B19DCCN615,2.39
418,B19DCCN501,2.39
422,B19DCCN682,2.38
422,B19DCCN072,2.38
422,B19DCCN017,2.38
422,B19DCCN623,2.38
422,B19DCCN696,2.38
